Model;Words;Section Reference;Meta-Analysis Info;screen_titles;screen_abstracts;TitlePrompt;AbstractPrompt;sensitivity_titles;specificity_titles;PPV_titles;NPV_titles;tp_titles;tn_titles;fp_titles;fn_titles;sensitivity_abstracts;specificity_abstracts;PPV_abstracts;NPV_abstracts;tp_abstracts;tn_abstracts;fp_abstracts;fn_abstracts
1;1;No Reference;No Info;1;0;;;;;;;;;;;;;;;;;;
1;8;No Reference;No Info;1;0;Screen the titles below like a human would.;Screen the abstracts below like a human would.;;;;;;;;;;;;;;;;
1;4;No Reference;No Info;1;0;Screen the titles below.;Screen the abstracts below.;;;;;;;;;;;;;;;;
1;6;No Reference;No Info;;0;You are a world-class clinical researcher.;You are a world-class clinical researcher.;;;;;;;;;;;;;;;;
1;13;No Reference;No Info;1;0;Do not exclude any titles unless you are absolutely certain they are irrelevant.;Do not exclude any abstracts unless you are absolutely certain they are irrelevant.;;;;;;;;;;;;;;;;
1;6;No Reference;No Info;1;0;Select the most relevant titles below.;Select the most relevant abstracts below.;;;;;;;;;;;;;;;;
1;13;No Reference;No Info;1;0;Of the titles below, aim to include relevant ones and exclude irrelevant ones.;Of the abstracts below, aim to include relevant ones and exclude irrelevant ones.;;;;;;;;;;;;;;;;
1;10;No Reference;No Info;1;0;Go through the titles below carefully and select relevant titles.;Go through the abstracts below carefully and select relevant abstracts.;;;;;;;;;;;;;;;;
1;47;No Reference;No Info;1;0;Consider the titles of the papers below. Select each one based on whether it is relevant or not. Be careful in your selection. Do not exclude any title unless you are certain it is irrelevant. Do not include any title unless you are certain it is relevant.;Consider the abstracts of the papers below. Select each one based on whether it is relevant or not. Be careful in your selection. Do not exclude any abstract unless you are certain it is irrelevant. Do not include any abstract unless you are certain it is relevant.;;;;;;;;;;;;;;;;
1;42;No Reference;No Info;;0;You are familiar with the concepts of sensitivity and specificity in signal-detection theory. As you go through the titles below, screen them both sensitively and specifically. This means that you select those titles that are relevant and exclude those that are irrelevant. ;You are familiar with the concepts of sensitivity and specificity in signal-detection theory. As you go through the abstracts below, screen them both sensitively and specifically. This means that you select those abstracts that are relevant and exclude those that are irrelevant.;;;;;;;;;;;;;;;;
1;47;No Reference;No Info;1;0;You are a world-class scientist who has screened countless papers throughout their life. Screen the titles below for relevance. Use your extensive scientific expertise to distinguish between relevant and irrelevant titles. Exclude the irrelevant papers and include the relevant papers in your selection based on their titles.;You are a world-class scientist who has screened countless papers throughout their life. Screen the abstracts below for relevance. Use your extensive scientific expertise to distinguish between relevant and irrelevant abstracts. Exclude the irrelevant papers and include the relevant papers in your selection based on their abstracts.;;;;;;;;;;;;;;;;
