Model;Words;Section Reference;Meta-Analysis Info;screen_titles;screen_abstracts;TitlePrompt;AbstractPrompt;sensitivity_titles;specificity_titles;PPV_titles;NPV_titles;tp_titles;tn_titles;fp_titles;fn_titles;sensitivity_abstracts;specificity_abstracts;PPV_abstracts;NPV_abstracts;tp_abstracts;tn_abstracts;fp_abstracts;fn_abstracts
1.0;1.0;No Reference;No Info;1.0;0.0;;;;;;;;;;;;;;;;;;
1.0;8.0;No Reference;No Info;1.0;0.0;Screen the titles below like a human would.;Screen the abstracts below like a human would.;;;;;;;;;;;;;;;;
1.0;4.0;No Reference;No Info;1.0;0.0;Screen the titles below.;Screen the abstracts below.;;;;;;;;;;;;;;;;
1.0;6.0;No Reference;No Info;1.0;0.0;You are a world-class clinical researcher.;You are a world-class clinical researcher.;;;;;;;;;;;;;;;;
1.0;13.0;No Reference;No Info;1.0;0.0;Do not exclude any titles unless you are absolutely certain they are irrelevant.;Do not exclude any abstracts unless you are absolutely certain they are irrelevant.;;;;;;;;;;;;;;;;
1.0;6.0;No Reference;No Info;1.0;0.0;Select the most relevant titles below.;Select the most relevant abstracts below.;;;;;;;;;;;;;;;;
1.0;13.0;No Reference;No Info;1.0;0.0;Of the titles below, aim to include relevant ones and exclude irrelevant ones.;Of the abstracts below, aim to include relevant ones and exclude irrelevant ones.;;;;;;;;;;;;;;;;
1.0;10.0;No Reference;No Info;1.0;0.0;Go through the titles below carefully and select relevant titles.;Go through the abstracts below carefully and select relevant abstracts.;;;;;;;;;;;;;;;;
1.0;47.0;No Reference;No Info;1.0;0.0;Consider the titles of the papers below. Select each one based on whether it is relevant or not. Be careful in your selection. Do not exclude any title unless you are certain it is irrelevant. Do not include any title unless you are certain it is relevant.;Consider the abstracts of the papers below. Select each one based on whether it is relevant or not. Be careful in your selection. Do not exclude any abstract unless you are certain it is irrelevant. Do not include any abstract unless you are certain it is relevant.;;;;;;;;;;;;;;;;
1.0;42.0;No Reference;No Info;1.0;0.0;You are familiar with the concepts of sensitivity and specificity in signal-detection theory. As you go through the titles below, screen them both sensitively and specifically. This means that you select those titles that are relevant and exclude those that are irrelevant. ;You are familiar with the concepts of sensitivity and specificity in signal-detection theory. As you go through the abstracts below, screen them both sensitively and specifically. This means that you select those abstracts that are relevant and exclude those that are irrelevant.;;;;;;;;;;;;;;;;
